email_counts,html tag_counts,url_counts,Twitter username_counts,hashtag_counts,character_counts,word_counts,unique word_counts,punctuation mark_counts,uppercase word_counts,lowercase word_counts,digit_counts,alphabetic char_counts,spam_label
0,0,2,0,0,564,81,74,36,1,58,33,415,1
0,1,2,0,0,1239,161,123,222,12,89,17,840,1
0,2,3,0,0,808,123,96,83,4,70,69,534,1
0,0,3,0,0,1097,154,106,61,11,127,28,855,1
2,0,0,0,1,1732,309,207,109,45,211,42,1273,1
0,0,0,0,0,1484,25,25,2,0,0,160,1298,1
7,134,4,1,12,7160,488,232,1442,99,154,384,3989,1
2,144,0,0,29,4773,475,276,983,76,258,304,3012,1
0,23,3,0,7,801,65,55,193,0,47,39,505,1
2,113,8,0,44,5349,453,272,1240,10,337,319,3337,1
1,0,0,0,4,6459,978,552,1187,191,580,161,4134,1
0,0,2,0,0,620,91,74,40,38,44,42,448,1
2,129,0,0,30,4596,402,243,893,76,142,340,2962,1
2,1,2,5,4,1052,26,23,493,1,4,55,417,1
0,0,0,0,0,1390,23,22,3,0,0,144,1221,1
0,0,3,0,0,1026,154,97,42,0,138,52,779,1
0,3,4,0,0,1187,180,146,111,3,64,84,813,1
3,0,5,0,0,640,69,65,75,1,33,34,463,1
0,0,1,0,0,2719,460,254,115,17,379,24,2117,1
0,0,1,0,0,2332,410,227,127,382,5,61,1735,1
0,42,8,0,1,2115,144,104,446,30,32,268,1258,1
2,166,3,0,5,6220,581,247,1428,32,393,302,3910,1
0,0,2,0,0,513,88,68,31,11,63,24,371,1
4,103,1,0,28,4208,362,267,800,55,164,334,2713,1
0,0,0,0,0,5306,87,86,41,0,0,525,4654,1
1,0,6,0,0,1632,219,169,152,16,119,60,1202,1
4,64,19,0,3,3580,212,144,763,45,99,320,2286,1
1,0,1,0,0,9416,1675,731,441,56,1443,126,7175,1
0,0,2,0,0,2435,434,221,63,1,381,60,1879,1
3,30,9,0,3,2334,220,163,441,13,161,85,1589,1
0,16,2,0,3,868,115,103,149,1,84,54,551,1
0,56,2,0,9,2200,194,154,491,2,101,125,1391,1
1,0,0,0,0,1226,208,123,54,5,171,102,863,1
0,0,0,0,0,7833,1254,596,341,198,725,151,6088,1
0,0,3,0,0,1048,165,99,38,0,141,33,813,1
1,0,1,0,0,860,120,94,31,2,55,3,707,1
0,0,2,0,0,442,58,54,64,0,47,6,315,1
0,26,2,0,5,1103,107,90,239,35,27,73,685,1
1,4,3,0,0,1348,158,114,253,7,137,34,904,1
0,0,1,0,0,483,81,69,21,0,60,17,365,1
0,24,8,0,2,1113,62,29,246,0,23,111,695,1
0,2,1,0,0,74,5,5,14,0,3,0,56,1
2,0,0,0,0,2806,483,323,304,109,279,91,1920,1
1,0,3,0,0,740,92,76,102,11,20,75,472,1
1,0,2,0,0,1527,35,35,132,0,13,145,1216,1
0,126,5,0,1,2755,285,187,642,11,173,128,1701,1
3,0,2,0,0,1016,133,106,51,2,62,3,830,1
0,59,1,0,4,3180,360,228,536,72,218,185,2100,1
0,0,1,0,0,241,35,32,17,0,32,0,190,1
2,0,0,0,0,1237,174,122,43,2,156,0,1021,1
2,0,4,0,0,1154,163,131,79,1,101,28,881,1
0,14,3,0,1,633,53,48,116,12,21,47,418,1
0,0,1,0,0,720,134,97,24,78,47,3,560,1
1,16,2,0,0,594,43,36,146,0,32,25,381,1
1,87,6,0,21,4051,401,236,831,11,241,182,2637,1
0,0,2,0,0,463,58,54,64,0,47,8,334,1
2,0,1,0,0,2817,489,256,70,27,401,7,2252,1
0,99,3,0,54,5307,473,335,1139,14,207,450,3246,1
0,3,4,0,0,2493,371,238,135,26,219,139,1849,1
1,0,6,0,0,2725,419,258,448,33,237,106,1753,1
3,0,1,0,0,2987,476,287,84,22,394,19,2408,1
14,0,9,0,0,11051,1593,816,484,80,1099,222,8671,1
0,0,0,0,28,15687,2796,995,1259,257,2109,383,11249,1
3,0,4,0,0,3231,574,310,151,20,472,51,2456,1
0,10,3,0,0,772,96,76,112,0,89,12,553,1
0,107,2,0,31,5138,472,331,1121,36,188,455,3091,1
1,0,1,0,0,8494,1485,727,446,133,1165,134,6430,1
0,0,0,0,0,3043,529,275,50,20,431,16,2449,1
0,0,3,0,0,1118,154,106,62,11,127,40,863,1
0,0,2,0,0,625,100,80,27,21,20,12,486,1
2,0,1,0,0,1143,195,136,45,9,157,21,883,1
0,92,2,0,47,5040,450,278,1132,5,216,458,3001,1
0,34,3,0,0,1419,120,98,310,18,53,21,969,1
0,13,1,0,0,685,102,76,78,22,69,14,492,1
0,0,3,0,0,984,140,103,94,9,92,23,728,1
0,0,0,0,0,2801,46,46,27,0,0,356,2373,1
2,0,1,0,0,3347,568,295,83,552,7,13,2683,1
0,35,2,0,0,1215,174,127,167,5,137,18,857,1
1,124,4,0,21,4688,457,256,898,1,347,289,3045,1
2,0,3,0,0,1186,173,128,58,7,132,41,915,1
0,6,3,0,0,2029,201,141,594,36,112,184,1051,1
3,0,4,0,0,3195,574,310,149,20,472,35,2438,1
0,0,3,0,0,971,139,103,94,9,91,20,719,1
0,0,2,0,0,649,77,65,172,3,29,10,391,1
0,73,4,0,23,3077,302,155,694,4,184,176,1906,1
3,0,0,0,0,1720,298,189,62,9,250,28,1333,1
0,0,2,0,0,479,66,62,70,8,50,4,340,1
0,16,4,0,2,609,39,35,161,0,30,24,386,1
3,0,0,0,0,1048,154,98,95,3,122,12,788,1
1,0,2,0,0,2609,418,258,133,23,335,8,2049,1
0,0,1,0,0,62,8,8,5,0,6,0,50,1
2,0,1,0,0,2236,382,239,85,40,303,4,1766,1
1,0,0,0,0,1843,314,192,85,10,230,88,1357,1
4,50,23,0,3,3115,196,123,748,42,102,163,2009,1
3,0,1,0,0,2716,412,270,116,65,291,128,2061,1
0,0,0,0,0,711,12,12,13,0,0,107,580,1
1,0,0,0,1,2420,419,275,110,149,204,44,1848,1
1,296,44,0,37,13667,989,387,3287,30,714,826,8564,1
0,40,12,0,4,1910,106,79,371,26,33,147,1287,1
